epoch,accuracy,loss,val_accuracy,val_loss
0,0.6919999718666077,0.8980003595352173,0.7912499904632568,0.4557234048843384
1,0.8220000267028809,0.40990209579467773,0.8799999952316284,0.2986421585083008
2,0.8820000290870667,0.31304264068603516,0.8262500166893005,0.4379782974720001
3,0.890999972820282,0.24568235874176025,0.8899999856948853,0.2813945412635803
4,0.9259999990463257,0.19552238285541534,0.7987499833106995,0.6958876252174377
5,0.9240000247955322,0.19154682755470276,0.8974999785423279,0.3096810281276703
6,0.9380000233650208,0.16746513545513153,0.887499988079071,0.32091444730758667
7,0.9539999961853027,0.12224773317575455,0.893750011920929,0.3515927493572235
8,0.9490000009536743,0.12486310303211212,0.875,0.3798936903476715
9,0.9570000171661377,0.11761419475078583,0.8987500071525574,0.38372597098350525
